id,name,lat,lon,district,county,locality
94-52001,abrantes,,,,,
94-36046,ademia,,,,,
94-18119,afife,,,,,
94-61002,agualva - cacem,,,,,
94-3046,aguas santas - palmilheira,,,,,
94-39057,aguda,,,,,
94-42218,agueda,,,,,
94-42267,aguieira,,,,,
94-37093,aguim,,,,,
94-34439,albergaria dos doze,,,,,
94-78063,albufeira - ferreiras,,,,,
94-74120,alcacovas,,,,,
94-53504,alcaide,,,,,
94-53140,alcains,,,,,
94-69039,alcantara - mar,,,,,
94-67025,alcantara - terra,,,,,
94-90092,alcantarilha,,,,,
94-53629,alcaria,,,,,
94-49411,aldeia,,,,,
94-11064,alegria,,,,,
94-52068,alferrarede,,,,,
94-69088,alges,,,,,
94-90050,algoz,,,,,
94-61069,algueirao - mem martins,,,,,
94-31237,alhandra,,,,,
94-95075,alhos vedros,,,,,
94-78253,almancil,,,,,
94-51102,almourol,,,,,
94-53355,alpedrinha,,,,,
94-6338,alvaraes,,,,,
94-52209,alvega - ortiga,,,,,
94-31187,alverca,,,,,
94-74351,alvito,,,,,
94-60087,amadora,,,,,
94-35097,ameal,,,,,
94-77099,amoreiras - odemira,,,,,
94-18150,ancora-praia,,,,,
94-9191,aregos,,,,,
94-6395,areia - darque,,,,,
94-29066,arentim,,,,,
94-18044,areosa,,,,,
94-44248,arrifana,,,,,
94-57174,arronches,,,,,
94-21055,arroteia,,,,,
94-57117,assumar,,,,,
94-38216,avanca,,,,,
94-38000,aveiro,,,,,
94-29108,aveleda,,,,,
94-33001,azambuja,,,,,
94-42051,azurva,,,,,
71-37606,badajoz,,,,,
94-95059,baixa da banheira,,,,,
94-48454,baracal,,,,,
94-52415,barca da amieira - envendos,,,,,
94-6122,barcelos,,,,,
94-9324,barqueiros,,,,,
94-51045,barquinha,,,,,
94-52241,barragem de belver,,,,,
94-95000,barreiro,,,,,
94-95026,barreiro-a,,,,,
94-5058,barrimau,,,,,
94-6304,barroselas,,,,,
94-75002,beja,,,,,
94-69054,belem,,,,,
94-54197,belmonte - manteigas,,,,,
94-52282,belver,,,,,
94-55129,bemposta,,,,,
94-35170,bencanta,,,,,
94-54338,benespera,,,,,
94-60046,benfica,,,,,
94-52878,benquerencas,,,,,
94-64022,bifurcacao de lares,,,,,
94-31070,bobadela,,,,,
94-78147,boliqueime,,,,,
94-73031,bom joao,,,,,
94-62703,bombarral,,,,,
94-31005,braco de prata,,,,,
94-29157,braga,,,,,
94-8334,bustelo,,,,,
94-42150,cabanoes,,,,,
94-8029,cabeda,,,,,
94-73452,cacela,,,,,
94-38075,cacia,,,,,
94-69005,cais do sodre,,,,,
94-63008,caldas da rainha,,,,,
94-9399,caldas de moledo,,,,,
94-18242,caminha,,,,,
94-60004,campolide,,,,,
94-46599,canas - felgueira,,,,,
94-38117,canelas,,,,,
94-28100,canicos,,,,,
94-6197,carapecos,,,,,
94-69187,carcavelos,,,,,
94-54148,caria,,,,,
94-40030,carrascal - delongo,,,,,
94-18085,carreco,,,,,
94-31336,carregado,,,,,
94-46482,carregal do sal,,,,,
94-6056,carreira,,,,,
94-18416,carvalha,,,,,
94-42309,carvalhal portela,,,,,
94-38356,carvalheira - maceda,,,,,
94-40113,carvalhos de figueiredo,,,,,
94-74005,casa branca,,,,,
94-35147,casais,,,,,
94-42168,casal do alvaro,,,,,
94-69260,cascais,,,,,
94-31310,castanheira do ribatejo,,,,,
94-46409,castelejo,,,,,
94-53009,castelo branco,,,,,
94-53314,castelo novo,,,,,
94-73502,castro marim,,,,,
94-44172,cavaco,,,,,
94-34330,caxarias,,,,,
94-69120,caxias,,,,,
94-8383,caíde,,,,,
94-48405,celorico da beira,,,,,
94-49205,cerdeira,,,,,
94-8227,cete,,,,,
94-56101,chanca,,,,,
94-34249,chao de macas - fatima,,,,,
94-36004,coimbra-b,,,,,
94-39149,coimbroes,,,,,
94-73379,conceicao,,,,,
94-3004,contumil,,,,,
94-38372,cortegaca,,,,,
94-29033,couto de cambeses,,,,,
94-44297,couto de cucujaes,,,,,
94-28290,covas,,,,,
94-10090,covelinhas,,,,,
94-54007,covilha,,,,,
94-56267,crato,,,,,
94-69104,cruz quebrada,,,,,
94-74476,cuba,,,,,
94-28209,cuca,,,,,
94-37119,curia,,,,,
94-40063,curvaceiras,,,,,
94-62802,dagorda - peniche,,,,,
94-6387,darque,,,,,
94-62380,dois portos,,,,,
94-53520,donas,,,,,
94-6262,durraes,,,,,
94-42119,eirol,,,,,
94-42077,eixo,,,,,
94-57497,elvas,,,,,
94-66050,entrecampos,,,,,
94-34009,entroncamento,,,,,
94-4002,ermesinde,,,,,
94-9258,ermida,,,,,
94-93005,ermidas - sado,,,,,
94-44222,escapaes,,,,,
94-42028,esgueira,,,,,
94-5033,esmeriz,,,,,
94-38406,esmoriz,,,,,
94-31401,espadanal da azambuja,,,,,
94-35162,espadaneira,,,,,
94-39008,espinho,,,,,
94-44016,espinho - vouga,,,,,
94-18291,esqueiro,,,,,
94-38158,estarreja,,,,,
94-90241,estombar - lagoa,,,,,
94-69245,estoril,,,,,
94-83006,evora,,,,,
94-5074,famalicao,,,,,
94-63180,famalicao da nazare,,,,,
94-44271,faria,,,,,
94-73007,faro,,,,,
94-53462,fatela - penamacor,,,,,
94-62364,feliteira,,,,,
94-71050,fernando po,,,,,
94-11114,ferradosa,,,,,
94-90274,ferragudo,,,,,
94-10165,ferrao,,,,,
94-29132,ferreiros,,,,,
94-64113,figueira da foz,,,,,
94-64089,fontela,,,,,
94-64097,fontela-a,,,,,
94-35030,formoselha - santo varao,,,,,
94-48249,fornos de algodres,,,,,
94-39081,francelos,,,,,
94-52571,fratel,,,,,
94-49387,freineda,,,,,
94-11247,freixo de numao - mos do douro,,,,,
94-77008,funcheira,,,,,
94-53546,fundao,,,,,
94-34199,fungalvaz,,,,,
94-73205,fuseta,,,,,
94-73197,fuseta-a,,,,,
94-49049,gata,,,,,
94-39172,general torres,,,,,
94-28159,giesteira,,,,,
94-9423,godim,,,,,
94-18325,gondarem,,,,,
94-48165,gouveia,,,,,
94-92577,grandola,,,,,
94-39040,granja,,,,,
94-35006,granja do ulmeiro - alfarelos,,,,,
94-49007,guarda,,,,,
94-63800,guia,,,,,
94-24000,guimaraes,,,,,
94-21030,hospital sao joao,,,,,
94-8243,irivo,,,,,
94-62257,jerumelo,,,,,
94-9050,juncal,,,,,
94-90464,lagos,,,,,
94-34090,lamarosa,,,,,
94-44057,lapa,,,,,
94-46581,lapa do lobo,,,,,
94-53215,lardosa,,,,,
94-64055,lares,,,,,
94-95042,lavradio,,,,,
94-4036,leandro,,,,,
94-21071,leca do balio,,,,,
94-63560,leiria,,,,,
94-31039,lisboa oriente,,,,,
94-59006,lisboa rossio,,,,,
94-30007,lisboa santa apolonia,,,,,
94-34504,litem,,,,,
94-8474,livracao,,,,,
94-73239,livramento,,,,,
94-28191,lordelo,,,,,
94-78238,loule,,,,,
94-63875,lourical,,,,,
94-5116,louro,,,,,
94-5009,lousado,,,,,
94-46094,luso - bucaco,,,,,
94-73262,luz,,,,,
94-54262,macainhas,,,,,
94-42325,macinhata,,,,,
94-39123,madalena,,,,,
94-62166,mafra,,,,,
94-62224,malveira,,,,,
94-48009,mangualde,,,,,
94-9001,marco de canaveses,,,,,
94-63461,marinha grande,,,,,
94-63404,martinganca - maceira,,,,,
94-65052,marujal,,,,,
94-66019,marvila,,,,,
94-60137,massama - barcarena,,,,,
94-32383,mato de miranda,,,,,
94-29116,mazagao,,,,,
94-37051,mealhada,,,,,
94-90431,meia praia,,,,,
94-8359,meinedo,,,,,
94-61051,merces,,,,,
94-77735,messines - alte,,,,,
94-90381,mexilhoeira grande,,,,,
94-6080,midoes,,,,,
94-62042,mira sintra - melecas,,,,,
94-39073,miramar,,,,,
94-9225,mirao,,,,,
94-49239,miuzela,,,,,
94-37143,mogofores,,,,,
94-46763,moimenta - alcafache,,,,,
94-95109,moita,,,,,
94-18200,moledo do minho,,,,,
94-60111,monte abraao,,,,,
94-46219,monte de lobos,,,,,
94-44040,monte de paramos,,,,,
94-69252,monte estoril,,,,,
94-73544,monte gordo,,,,,
94-63685,monte real,,,,,
94-63735,monte redondo,,,,,
94-65029,montemor,,,,,
94-46243,mortagua,,,,,
94-31047,moscavide,,,,,
94-9134,mosteiro,,,,,
94-5108,mouquim,,,,,
94-42259,mourisca do vouga,,,,,
94-52167,mouriscas - a,,,,,
94-46672,nelas,,,,,
94-28266,nespereira,,,,,
94-6007,nine,,,,,
94-62836,obidos,,,,,
94-69179,oeiras,,,,,
94-37275,oia,,,,,
94-8250,oleiros,,,,,
94-73106,olhao,,,,,
94-8409,oliveira,,,,,
94-44339,oliveira de azemeis,,,,,
94-37218,oliveira do bairro,,,,,
94-46524,oliveirinha - cabanas,,,,,
94-42176,oronhe,,,,,
94-62612,outeiro,,,,,
94-38299,ovar,,,,,
94-69146,paco de arcos,,,,,
94-44107,pacos de brandao,,,,,
94-34157,paialvo,,,,,
94-9100,pala,,,,,
94-68080,palmela,,,,,
94-37002,pampilhosa,,,,,
94-46441,papízios,,,,,
94-8201,parada,,,,,
94-37184,paraimo - sangalhos,,,,,
94-38414,paramos,,,,,
94-69203,parede,,,,,
94-8276,paredes,,,,,
94-78295,parque das cidades,,,,,
94-63354,pataias,,,,,
94-62745,paul,,,,,
94-62133,pedra furada,,,,,
94-71126,pegoes,,,,,
94-34702,pelariga,,,,,
94-8318,penafiel,,,,,
94-95125,penteado,,,,,
94-35055,pereira,,,,,
94-28217,pereirinhas,,,,,
94-62315,pero negro,,,,,
94-68007,pinhal novo,,,,,
94-10249,pinhao,,,,,
94-71001,poceirao,,,,,
94-12005,pocinho,,,,,
94-90134,poco barreto,,,,,
94-34645,pombal,,,,,
94-55293,ponte de sor,,,,,
94-73338,porta nova,,,,,
94-57000,portalegre,,,,,
94-4101,portela,,,,,
94-61093,portela de sintra,,,,,
94-90290,portimao,,,,,
94-2006,porto campanha,,,,,
94-9282,porto rei,,,,,
94-1008,porto sao bento,,,,,
94-31146,povoa,,,,,
94-68130,praca do quebedo,,,,,
94-17087,pragal,,,,,
94-51128,praia do ribatejo,,,,,
94-91058,praias do sado-a,,,,,
94-60103,queluz - belas,,,,,
94-37358,quintans,,,,,
94-62547,ramalhal,,,,,
94-60095,reboleira,,,,,
94-8177,recarei - sobreira,,,,,
94-8441,recesinhos,,,,,
94-9357,rede,,,,,
94-10009,regua,,,,,
94-33084,reguengo - vale da pedra - pontevel,,,,,
94-52845,retaxo,,,,,
94-65128,reveles,,,,,
94-32466,riachos - torres novas - golega,,,,,
94-61044,rio de mouro,,,,,
94-44115,rio meao,,,,,
94-3038,rio tinto,,,,,
94-49163,rochoso,,,,,
94-66035,roma - areeiro,,,,,
94-62422,runa,,,,,
94-29074,ruílhe,,,,,
94-54429,sabugal,,,,,
94-62091,sabugo,,,,,
94-31062,sacavem,,,,,
94-63107,salir do porto,,,,,
94-38125,salreu,,,,,
94-44073,sampaio - oleiros,,,,,
94-44198,sanfins,,,,,
94-40105,santa cita,,,,,
94-77388,santa clara - saboia,,,,,
94-46367,santa comba dao,,,,,
94-60038,santa cruz - damaia,,,,,
94-60038,santa cruz-damaia,,,,,
94-57315,santa eulalia,,,,,
94-31112,santa iria,,,,,
94-51185,santa margarida,,,,,
94-32045,santana - cartaxo,,,,,
94-32185,santarem,,,,,
94-44313,santiago de riba - ul,,,,,
94-69161,santo amaro,,,,,
94-28068,santo tirso,,,,,
94-69013,santos,,,,,
94-4051,sao frutuoso,,,,,
94-21006,sao gemil,,,,,
94-44255,sao joao da madeira,,,,,
94-71159,sao joao das craveiras,,,,,
94-44156,sao joao de ver,,,,,
94-69237,sao joao do estoril,,,,,
94-42093,sao joao loure,,,,,
94-62786,sao mamede,,,,,
94-21048,sao mamede de infesta,,,,,
94-8102,sao martinho do campo,,,,,
94-63131,sao martinho do porto,,,,,
94-18440,sao pedro da torre,,,,,
94-69229,sao pedro do estoril,,,,,
94-4077,sao romao,,,,,
94-62299,sapataria,,,,,
94-52803,sarnadas,,,,,
94-34264,seica - ourem,,,,,
94-18275,seixas,,,,,
94-18234,senhora da agonia,,,,,
94-6312,senhora das neves,,,,,
94-43000,sernada do vouga,,,,,
94-66076,sete rios,,,,,
94-32003,setil,,,,,
94-68122,setubal,,,,,
94-6155,silva,,,,,
94-38422,silvalde,,,,,
94-44032,silvalde - vouga,,,,,
94-90183,silves,,,,,
94-34744,simoes,,,,,
94-61101,sintra,,,,,
94-53264,soalheira,,,,,
94-46185,soito,,,,,
94-40014,soudos - vila nova,,,,,
94-34801,soure,,,,,
94-36087,souselas,,,,,
94-8060,suzao,,,,,
94-29090,tadim,,,,,
94-42127,taipa - requeixo,,,,,
94-6213,tamel,,,,,
94-51086,tancos,,,,,
94-35139,taveiro,,,,,
94-73320,tavira,,,,,
94-8136,terronhas,,,,,
94-52738,tojeirinha,,,,,
94-40154,tomar,,,,,
94-56002,torre das vargens,,,,,
94-62471,torres vedras,,,,,
94-53678,tortosendo,,,,,
94-51243,tramagal,,,,,
94-8151,trancoso,,,,,
94-4010,travagem,,,,,
94-42135,travasso,,,,,
94-4630,trofa,,,,,
94-11007,tua,,,,,
94-78006,tunes,,,,,
94-46045,vacarica,,,,,
94-39115,valadares,,,,,
94-63263,valado - nazare - alcobaca,,,,,
94-32284,vale de figueira,,,,,
94-53397,vale de prazeres,,,,,
94-32102,vale de santarem,,,,,
94-38240,valega,,,,,
94-7005,valenca,,,,,
94-8086,valongo,,,,,
94-42291,valongo - vouga,,,,,
94-11148,vargelas,,,,,
94-68049,venda do alcaide,,,,,
94-72009,vendas novas,,,,,
94-34553,vermoil,,,,,
94-65086,verride,,,,,
94-11197,vesuvio,,,,,
94-18002,viana do castelo,,,,,
71-22308,vigo-guixar,,,,,
94-44206,vila da feira,,,,,
94-28134,vila das aves,,,,,
94-49114,vila fernando,,,,,
94-48546,vila franca das naves,,,,,
94-31278,vila franca de xira,,,,,
94-8433,vila mea,,,,,
94-74278,vila nova da baronia,,,,,
94-31377,vila nova da rainha,,,,,
94-34868,vila nova de ancos,,,,,
94-18341,vila nova de cerveira,,,,,
94-39164,vila nova de gaia - devesas,,,,,
94-35105,vila pouca do campo,,,,,
94-73569,vila real de santo antonio,,,,,
94-52647,vila velha de rodao,,,,,
94-49460,vilar formoso,,,,,
94-36053,vilela - fornos,,,,,
94-33043,virtudes,,,,,
94-28233,vizela,,,,,
94-62331,zibreira,,,,,
